名称,省份,城市,区县,详细地址,完整地址,电话,经纬度
温州市龙湾区蓝江职业培训学校,浙江省,温州市,龙湾区,文化用品市场C幢3楼,浙江省温州市龙湾区文化用品市场C幢3楼,13587898914,"120.734525,27.971975"
宁波俊豪叉车挖机电工焊工培训考证复审,浙江省,宁波市,镇海区,骆驼兴骆西路49号,浙江省宁波市镇海区骆驼兴骆西路49号,15867552909,"121.585154,29.988292"
信诚叉车培训基地,浙江省,嘉兴市,秀洲区,新塍镇陈家浜X303,浙江省嘉兴市秀洲区新塍镇陈家浜X303,暂无电话,"120.601441,30.771909"
衢州市安特职业技能培训学校(叉车培训),浙江省,衢州市,柯城区,世纪大道与凯旋东路交叉口西140米,浙江省衢州市柯城区世纪大道与凯旋东路交叉口西140米,0570-8077118;15657018989,"118.930325,28.939575"
汇龙技校(叉车培训),浙江省,湖州市,长兴县,画溪街道雉州大道179号画溪智慧创业谷4楼,浙江省湖州市长兴县画溪街道雉州大道179号画溪智慧创业谷4楼,15088305998;15906720110,"119.915407,30.981119"
慈溪叉车电工培训,浙江省,宁波市,慈溪市,崇寿镇永清北路44号,浙江省宁波市慈溪市崇寿镇永清北路44号,18957886139,"121.271005,30.272998"
台州叉车培训电工电焊起重考证博通技能培训,浙江省,台州市,路桥区,东路桥大道601-8号,浙江省台州市路桥区东路桥大道601-8号,15067665003,"121.393302,28.583201"
义乌市叉车电焊培训中心报名处,浙江省,金华市,义乌市,四季小区78栋5单元,浙江省金华市义乌市四季小区78栋5单元,19857937016,"120.042622,29.317945"
顺兴叉车培训,浙江省,宁波市,慈溪市,前湾新区启迪路88号B1-4-111号,浙江省宁波市慈溪市前湾新区启迪路88号B1-4-111号,13958302341,"121.296437,30.344109"
昊远叉车培训(瓜沥店),浙江省,杭州市,萧山区,瓜沥镇光华路243-245号汇锦名店广场26栋,浙江省杭州市萧山区瓜沥镇光华路243-245号汇锦名店广场26栋,13372503330,"120.456286,30.187152"
东训叉车电焊培训,浙江省,金华市,东阳市,湖莲西街196号,浙江省金华市东阳市湖莲西街196号,13071811112,"120.219867,29.307813"
振达叉车电工电焊培训考证,浙江省,嘉兴市,平湖市,钟埭街道兴平一路136号,浙江省嘉兴市平湖市钟埭街道兴平一路136号,13456305657,"121.004344,30.705262"
叉车培训登高电工焊工保安考证,浙江省,杭州市,钱塘区,下沙街道七格小区495-1号,浙江省杭州市钱塘区下沙街道七格小区495-1号,13205719601;13208039601,"120.315733,30.297506"
杭州昊远叉车培训,浙江省,杭州市,萧山区,临浦镇萧山建材商贸城17栋15号,浙江省杭州市萧山区临浦镇萧山建材商贸城17栋15号,0571-82487369;13336015165;19357256618,"120.245231,30.052128"
叉车培训考证,浙江省,杭州市,钱塘区,梅林湾石材市场4号店铺,浙江省杭州市钱塘区梅林湾石材市场4号店铺,13305817430,"120.565287,30.273267"
绍兴叉车电焊电工培训考证,浙江省,绍兴市,越城区,袍江寺东街242号,浙江省绍兴市越城区袍江寺东街242号,15067512341,"120.610891,30.085317"
三一机器人,浙江省,湖州市,长兴县,德玛物流园有限公司G幢,浙江省湖州市长兴县德玛物流园有限公司G幢,15088318777,"119.935425,30.977828"
温州叉车证焊工证培训考证学校,浙江省,温州市,瑞安市,瑞凤南路23号,浙江省温州市瑞安市瑞凤南路23号,13912774444,"120.669868,27.843062"
宁波状元叉车培训中心,浙江省,宁波市,北仑区,高塘街10号,浙江省宁波市北仑区高塘街10号,13858233229,"121.791225,29.921841"
金华市叉车电焊培训考证基地,浙江省,金华市,婺城区,秋滨街道金地路545号,浙江省金华市婺城区秋滨街道金地路545号,13735713392,"119.621513,29.066940"
鄞州区五乡镇叉车电工电焊培训考证,浙江省,宁波市,鄞州区,五乡镇中洲路22号,浙江省宁波市鄞州区五乡镇中洲路22号,15988659990,"121.675098,29.848137"
金华焊工证叉车证培训考证中心,浙江省,金华市,婺城区,秋滨街道秋滨工业城博联路63号,浙江省金华市婺城区秋滨街道秋滨工业城博联路63号,15924227626;18858933321,"119.609772,29.068576"
杭州安寻教育培训咨询考证,浙江省,杭州市,临平区,东湖街道天荷路111号6幢4楼401室,浙江省杭州市临平区东湖街道天荷路111号6幢4楼401室,15067198424,"120.295225,30.441025"
镇海区叉车培训基地,浙江省,宁波市,镇海区,汶骆西路,浙江省宁波市镇海区汶骆西路,13958212681,"121.549625,29.987175"
状元叉车培训考证,浙江省,宁波市,镇海区,贵驷街道南二东路169号,浙江省宁波市镇海区贵驷街道南二东路169号,15357479904;15805847214,"121.619166,29.973573"
速腾叉车电焊电工培训,浙江省,台州市,温岭市,大溪镇繁昌路92号,浙江省台州市温岭市大溪镇繁昌路92号,15325671287;15381815677;18110895927,"121.260825,28.465317"
高欣叉车培训点,浙江省,宁波市,北仑区,坝头东路137号,浙江省宁波市北仑区坝头东路137号,暂无电话,"121.812587,29.886569"
东阳市叉车电焊电工培训,浙江省,金华市,东阳市,六石街道明凯街805号58幢112,浙江省金华市东阳市六石街道明凯街805号58幢112,19558138195,"120.319435,29.308074"
桐乡叉车焊工培训报名处,浙江省,嘉兴市,桐乡市,梧桐街道逾桥中路57号,浙江省嘉兴市桐乡市梧桐街道逾桥中路57号,13185378886,"120.555107,30.649157"
叉车电焊培训(富阳店),浙江省,杭州市,富阳区,富春街道西堤路109-2,浙江省杭州市富阳区富春街道西堤路109-2,18443511115,"119.948484,30.045885"
义乌状元技能叉车培训中心,浙江省,金华市,义乌市,城西街道圣寿路777号(镇西工作片对面),浙江省金华市义乌市城西街道圣寿路777号(镇西工作片对面),18757612299,"119.970773,29.293736"
临平叉车培.训,浙江省,杭州市,临平区,杭州市东湖街道东湖北路267号,浙江省杭州市临平区杭州市东湖街道东湖北路267号,15168334442;18668057786,"120.302094,30.442196"
诚信叉车培训电工焊工考证,浙江省,宁波市,慈溪市,慈甬路268号,浙江省宁波市慈溪市慈甬路268号,18298025885,"121.320633,30.157236"
杭州川雄叉车挖机,浙江省,杭州市,萧山区,宁围街道新华村,浙江省杭州市萧山区宁围街道新华村,15224065222,"120.293355,30.205456"
金华市万隆叉车培训基地,浙江省,金华市,金东区,存统路与东岩街路口,浙江省金华市金东区存统路与东岩街路口,暂无电话,"119.686551,29.120285"
八方圆叉车焊工电工培训考证,浙江省,宁波市,余姚市,泗门镇镇北路269号,浙江省宁波市余姚市泗门镇镇北路269号,13248596911,"121.037610,30.160063"
讯飞叉车焊工电工考证,浙江省,台州市,温岭市,松门镇远景村沿海路168号,浙江省台州市温岭市松门镇远景村沿海路168号,15381815677,"121.601395,28.349466"
慈溪叉车培训考证,浙江省,宁波市,慈溪市,伏龙路25号,浙江省宁波市慈溪市伏龙路25号,暂无电话,"121.554453,30.083501"
温州顺利叉车培训有限公司,浙江省,温州市,永嘉县,瓯北昌新路停车场内,浙江省温州市永嘉县瓯北昌新路停车场内,13588912675,"120.647498,28.043106"
浙江状元叉车电工电焊培训考证,浙江省,绍兴市,柯桥区,安昌路,浙江省绍兴市柯桥区安昌路,18657569937,"120.509927,30.134185"
叉车培训考证,浙江省,金华市,永康市,大坟山沿名园北大道57号,浙江省金华市永康市大坟山沿名园北大道57号,15257953737,"120.082176,28.918760"
温州叉车培训,浙江省,温州市,龙湾区,滨海园区南龙步行街二楼201,浙江省温州市龙湾区滨海园区南龙步行街二楼201,15257737373,"120.816995,27.864799"
叉车电焊培训(东洲店),浙江省,杭州市,富阳区,东洲街道紫铜村紫砂198号1楼,浙江省杭州市富阳区东洲街道紫铜村紫砂198号1楼,13221073202,"120.074645,30.077015"
叉车考证培训,浙江省,台州市,黄岩区,北城街道塔水桥一区81号,浙江省台州市黄岩区北城街道塔水桥一区81号,19957665660,"121.229194,28.667406"
状元叉车培训考证中心,浙江省,绍兴市,柯桥区,马鞍街道滨海工业区滨海旺角大厦9区3-134室,浙江省绍兴市柯桥区马鞍街道滨海工业区滨海旺角大厦9区3-134室,15215993663,"120.661928,30.167998"
飞天职业培训学校,浙江省,宁波市,北仑区,大碶街道元宝山路圣美新厂房二楼,浙江省宁波市北仑区大碶街道元宝山路圣美新厂房二楼,15658260130,"121.782210,29.900171"
振鑫叉车培训,浙江省,湖州市,长兴县,雉城街道车站东路48号,浙江省湖州市长兴县雉城街道车站东路48号,15088357311,"119.907137,30.991196"
叉车焊工培训(新光北路店),浙江省,金华市,义乌市,青口新光北路1号,浙江省金华市义乌市青口新光北路1号,暂无电话,"120.132530,29.312891"
君尚叉车培训,浙江省,台州市,黄岩区,江口街道三江新村道头198号,浙江省台州市黄岩区江口街道三江新村道头198号,19957661095,"121.346501,28.673115"
启杭叉车培训考证(叉车上牌)焊工考证,浙江省,杭州市,临平区,前村街220号,浙江省杭州市临平区前村街220号,15356185456,"120.163817,30.385673"
叉车培训报名处,浙江省,嘉兴市,嘉善县,里姚路口,浙江省嘉兴市嘉善县里姚路口,13817265614;19518290400,"120.959822,30.877639"
叉车培训电工电焊培训考证复审,浙江省,宁波市,鄞州区,姜山镇朝阳路764号,浙江省宁波市鄞州区姜山镇朝阳路764号,18358211896,"121.487314,29.767434"
叉车驾驶咨询报名处,浙江省,宁波市,江北区,慈城宁慈西路和保黎南路路口向东50米,浙江省宁波市江北区慈城宁慈西路和保黎南路路口向东50米,15658264888,"121.452499,29.975394"
状元叉车培训考证,浙江省,台州市,玉环市,楚门镇直塘路506号,浙江省台州市玉环市楚门镇直塘路506号,17816669199,"121.291183,28.232230"
嵊州市叉车电焊培训考证基地,浙江省,绍兴市,嵊州市,三江街道富民街316号自南向北第二间,浙江省绍兴市嵊州市三江街道富民街316号自南向北第二间,15957548396,"120.839847,29.584570"
叉车培训,浙江省,嘉兴市,海宁市,碧云北路32号,浙江省嘉兴市海宁市碧云北路32号,18457399516,"120.713283,30.533786"
叉车培训,浙江省,嘉兴市,南湖区,新丰镇双龙路2039号,浙江省嘉兴市南湖区新丰镇双龙路2039号,15757360714,"120.908997,30.707419"
温州智鹰(瓯海)叉车培训基地,浙江省,温州市,瓯海区,瓯海大道出口与瓯海大道辅道交叉口西南220米,浙江省温州市瓯海区瓯海大道出口与瓯海大道辅道交叉口西南220米,18072001008,"120.599185,27.963618"
浦江叉车电工焊工培训考证,浙江省,金华市,浦江县,黄宅镇工商路157号,浙江省金华市浦江县黄宅镇工商路157号,15067976570,"120.007959,29.448211"
嘉杭叉车培训考证,浙江省,杭州市,钱塘区,义蓬第二小学北侧约50米叉车培训考证,浙江省杭州市钱塘区义蓬第二小学北侧约50米叉车培训考证,18969130295,"120.507221,30.306602"
海盐叉车培训通元实操基地,浙江省,嘉兴市,海盐县,嘉南线与浦漾路交叉口南440米,浙江省嘉兴市海盐县嘉南线与浦漾路交叉口南440米,18268132494,"120.847875,30.436225"
仙居叉车电工电焊考试培训,浙江省,台州市,仙居县,大路村公路南83-2号,浙江省台州市仙居县大路村公路南83-2号,15858629911,"120.828905,28.886192"
荣升叉车培训电工焊工,浙江省,宁波市,慈溪市,滨海经济开发区观蜃南路91号(昱湖壹号苑),浙江省宁波市慈溪市滨海经济开发区观蜃南路91号(昱湖壹号苑),13252330353,"121.568336,30.119364"
叉车培训,浙江省,杭州市,萧山区,悍马路1号叉车培训,浙江省杭州市萧山区悍马路1号叉车培训,18268055983,"120.262057,30.059942"
永康叉车电焊培训,浙江省,金华市,永康市,长城村民本路100号第三间,浙江省金华市永康市长城村民本路100号第三间,19064336889,"120.071504,28.911403"
叉车培训,浙江省,湖州市,长兴县,海兴路474号,浙江省湖州市长兴县海兴路474号,13587900022,"119.907420,30.994897"
绍兴叉车电焊培训考证,浙江省,绍兴市,柯桥区,钱安线与034乡道交叉口西280米,浙江省绍兴市柯桥区钱安线与034乡道交叉口西280米,暂无电话,"120.441475,30.127025"
嘉通叉车培训,浙江省,绍兴市,柯桥区,钱清街道发展路103号,浙江省绍兴市柯桥区钱清街道发展路103号,15067183166,"120.432808,30.098211"
叉车电焊培训考证基地,浙江省,金华市,兰溪市,蕙兰路2-1号,浙江省金华市兰溪市蕙兰路2-1号,15067927702,"119.400527,29.220719"
富应叉车培训电动车维修,浙江省,嘉兴市,南湖区,大桥镇十八里西街48号大桥镇派出所公交站旁,浙江省嘉兴市南湖区大桥镇十八里西街48号大桥镇派出所公交站旁,15257091729;17756732772,"120.860925,30.744075"
泓煜叉车培训考证,浙江省,绍兴市,越城区,海峰路与万峰路交叉口西50米(万峰一期旁)叉车培训电焊证电工证高处证装载机挖掘机起重机培训考证复审等,浙江省绍兴市越城区海峰路与万峰路交叉口西50米(万峰一期旁)叉车培训电焊证电工证高处证装载机挖掘机起重机培训考证复审等,暂无电话,"120.765797,30.123691"
武义叉车培训,浙江省,金华市,武义县,熟溪街道金三路广场18号地块18幢113号,浙江省金华市武义县熟溪街道金三路广场18号地块18幢113号,13335992843,"119.823610,28.891253"
叉车电工电焊登高培训考证,浙江省,嘉兴市,南湖区,丰乌路345号,浙江省嘉兴市南湖区丰乌路345号,13456305657,"120.959156,30.715413"
正旺叉车培训,浙江省,湖州市,安吉县,上马山路3-108,浙江省湖州市安吉县上马山路3-108,15055227358,"119.648601,30.775194"
小风叉车培训,浙江省,宁波市,海曙区,布政新村(云林东路南)76弄4号,浙江省宁波市海曙区布政新村(云林东路南)76弄4号,13865462565,"121.471756,29.840919"
状元叉车培训电工电焊考证,浙江省,嘉兴市,海盐县,望海街道五一菜市场,浙江省嘉兴市海盐县望海街道五一菜市场,15067306699,"120.973583,30.570606"
湖州叉车保安电焊培训考证,浙江省,湖州市,吴兴区,成业路1218号,浙江省湖州市吴兴区成业路1218号,18257226068,"120.061659,30.846494"
叉车培训电工焊工登高保安考证,浙江省,杭州市,钱塘区,新湾街道闸口路51-1号,浙江省杭州市钱塘区新湾街道闸口路51-1号,13205719601;13208039601,"120.547576,30.281043"
江丹叉车培训基地,浙江省,嘉兴市,海宁市,马桥街道马桥路与镇北路交叉口往北20米,浙江省嘉兴市海宁市马桥街道马桥路与镇北路交叉口往北20米,13511365362,"120.702346,30.468041"
叉车培训电工电焊培训,浙江省,杭州市,临平区,东湖街道东湖南路6号,浙江省杭州市临平区东湖街道东湖南路6号,19033911104,"120.306404,30.419751"
安吉叉车(观光车、安全管理员)培训报名处,浙江省,湖州市,安吉县,古鄣路与7号南路交叉口东北160米,浙江省湖州市安吉县古鄣路与7号南路交叉口东北160米,0572-5600953,"119.696307,30.652825"
叉车焊工培训,浙江省,湖州市,吴兴区,普安路167号,浙江省湖州市吴兴区普安路167号,19816922633,"120.101274,30.683295"
卓越叉车电焊挖掘机培训.叉车培训考证.电焊考证,浙江省,台州市,温岭市,幸福路305号,浙江省台州市温岭市幸福路305号,18357673424,"121.369197,28.506167"
宁海叉车电焊电工培训学校,浙江省,宁波市,宁海县,梅林南路183号,浙江省宁波市宁海县梅林南路183号,暂无电话,"121.451144,29.370836"
百信状元叉车电工电焊培训考证,浙江省,绍兴市,上虞区,同仁路22号,浙江省绍兴市上虞区同仁路22号,13505850553,"120.847503,30.088712"
嘉兴铭安叉车培训,浙江省,嘉兴市,平湖市,广陈镇独新西路181号,浙江省嘉兴市平湖市广陈镇独新西路181号,18368375687,"121.130567,30.753198"
叉车培训店,浙江省,温州市,乐清市,盐盆街道盐盆南街173号,浙江省温州市乐清市盐盆街道盐盆南街173号,18057706566,"120.977000,28.065868"
叉车电焊电工培训考证,浙江省,杭州市,萧山区,靖江街道文化路10号,浙江省杭州市萧山区靖江街道文化路10号,15858295256;17681959756,"120.466404,30.231289"
叉车培训,浙江省,宁波市,鄞州区,荷多段与横马路交叉口西220米,浙江省宁波市鄞州区荷多段与横马路交叉口西220米,13454753595;18757476747,"121.584511,29.744205"
天宇叉车培训,浙江省,绍兴市,上虞区,东关街道镇东路85号,浙江省绍兴市上虞区东关街道镇东路85号,13588539601,"120.823423,30.009805"
叉车电焊培训,浙江省,金华市,金东区,孝顺镇新后项村紫御豪庭6幢24室一楼,浙江省金华市金东区孝顺镇新后项村紫御豪庭6幢24室一楼,15088287441,"119.865403,29.182837"
卓越叉车电焊电工培训,浙江省,绍兴市,诸暨市,大唐街道商城北路350号,浙江省绍兴市诸暨市大唐街道商城北路350号,19557530954,"120.158817,29.700054"
叉车培训,浙江省,杭州市,钱塘区,义蓬街道金蜂二路101号,浙江省杭州市钱塘区义蓬街道金蜂二路101号,13157198065,"120.491165,30.264196"
状元叉车培训考证,浙江省,绍兴市,嵊州市,浦南大道751号,浙江省绍兴市嵊州市浦南大道751号,暂无电话,"120.865719,29.634137"
鑫熠叉车培训,浙江省,杭州市,临安区,青山湖汪家埠鹤亭街92号,浙江省杭州市临安区青山湖汪家埠鹤亭街92号,15068129689,"119.867562,30.252439"
兰溪叉车培训考证基地,浙江省,金华市,兰溪市,朝晖路与振兴路交叉口东南60米,浙江省金华市兰溪市朝晖路与振兴路交叉口东南60米,13857908573,"119.434107,29.209198"
杭州叉车培训电工电焊,浙江省,杭州市,余杭区,良渚街道书林苑1-26号,浙江省杭州市余杭区良渚街道书林苑1-26号,15158187797;15168226820,"120.047605,30.376560"
叉车培训,浙江省,绍兴市,新昌县,104国道与达利发路向东150米,浙江省绍兴市新昌县104国道与达利发路向东150米,13157500057,"120.846161,29.523676"
